form	count	children	category	sample_context	spanish
hoy	223	Mateo(210); Francisco(10); Isabel(3)		¿hoy? | ¿hoy?	¿qué? | ¿qué?
ix	221	Mateo(156); Yeseña(47); Isabel(15); Francisco(3)		b'at wil ix nene'. | ix wila'.	voy ir ha ver a la nena. | lo ví.
ni	193	Mateo(89); Yeseña(63); Isabel(34); Brendo(4); Francisco(3)		 | ni´i´.	aquí esta mi caballo. | aquí está.
ma'ay	162	Mateo(84); Francisco(63); Yeseña(10); Isabel(5)		ma'ay. | ma'ay.	no. | no.
ni'i	160	Mateo(104); Yeseña(26); Francisco(23); Isabel(7)		ni'i. | ni'i.	mirá. | mirá.
tik	108	Mateo(59); Yeseña(33); Isabel(11); Brendo(3); Francisco(2)		ha nok´ tik. | ni nok´ hinchej tik.	es esto. | aquí esta mi caballo.
hi'	108	Mateo(78); Isabel(15); Yeseña(8); Francisco(7)		hi'. | hi'.	sí. | sí.
chi'	103	Mateo(61); Yeseña(22); Isabel(18); Francisco(2)		in nok' chi'. | ha t'ay chi'.	allí está. | allí.
hin	101	Mateo(90); Yeseña(7); Francisco(2); Isabel(2)		hin karro. | nok' hin wol.	mi carro. | mi pelota.
yo	99	Mateo(90); Isabel(4); Yeseña(4); Francisco(1)		yo! | ¡yo!.	ho! | ¡oh!.
ha	94	Mateo(64); Isabel(13); Yeseña(13); Brendo(3); Francisco(1)		ha´in. | ha nok´ tik.	yo. | es esto.
weno	89	Yeseña(51); Mateo(30); Francisco(6); Isabel(2)		weno. | weno.	bueno. | bueno.
ay	80	Mateo(41); Isabel(21); Yeseña(11); Francisco(6); Brendo(1)		ma´ay. | ay.	no. | hoo.
nunin	76	Mateo(34); Isabel(30); Yeseña(10); Francisco(2)		nunin. | nunin.	mamá. | mamá.
nok'	73	Mateo(48); Yeseña(16); Francisco(5); Isabel(4)		ikut nok'. | ni nok'.	traeme la pelota. | aquí está.
t'ay	71	Mateo(65); Yeseña(3); Isabel(2); Francisco(1)		ha t'ay chi'. | t'ay chi'.	allí. | ahí.
kak'	67	Mateo(64); Yeseña(2); Isabel(1)		kak' karro. | kak' tajnel.	juguemos ha carro. | jugamos.
o	64	Isabel(27); Mateo(26); Yeseña(11)		ak'kot wib'an o ak'kot t'a yich hinpatik. | tz'em punhnajok o tz'em latnajok.	damelo en la espalda. | se caé.
ni'	62	Yeseña(53); Isabel(6); Mateo(3)		ni'. | ni' tik.	ten. | aquí está.
wol	61	Mateo(55); Francisco(4); Isabel(2)		nok' hin wol. | wol.	mi pelota. | gol.
an	56	Mateo(53); Isabel(2); Francisco(1)		yam chi an. | an.	agarrá eso pues. | an.
lemach	52	Mateo(50); Yeseña(2)		lemach. | lemach.	venga. | ven√≠.
nene'	45	Mateo(25); Yeseña(11); Isabel(8); Francisco(1)		b'at wil ix nene'. | nene'.	voy ir ha ver a la nena. | nene.
a	40	Mateo(36); Yeseña(3); Isabel(1)		a /b'i. | ha ix mama.A	escucha. | fue mam·.
el	36	Mateo(36)		el ni√±o imitan unos sonidos. | imita el sonido del carro.	el ni√±o imitan unos sonidos. | imita el sonido del carro.
karro	35	Mateo(27); Isabel(4); Yeseña(3); Francisco(1)		hin karro. | kak' karro.	mi carro. | juguemos ha carro.
k'en	31	Mateo(25); Yeseña(4); Brendo(1); Isabel(1)		malaj k'en. | k'en karro.	no hay. | el carro.
tas	30	Mateo(21); Isabel(6); Francisco(2); Yeseña(1)		¿tas? | tas?	¿qué? | que?
winh	30	Yeseña(14); Mateo(13); Isabel(3)		winh hinmam. | ix b'at winh t'a chi'.	mi papá. | él se fue para ya.
jun	30	Mateo(19); Yeseña(6); Isabel(5)		b'ajtil ayek' winh jun. | jun elxo.	donde se encuentra él pues. | otra vez.
nun	30	Yeseña(13); Mateo(11); Isabel(6)		ha' ixin nun tik. | nun o nunin.	está es mi mamá. | mamá.
junxo	30	Mateo(28); Yeseña(2)		junxo k'entik. | junxo k'en chi.	otro mi carro. | es el otro.
ewin	30	Yeseña(29); Mateo(1)		elanh ewin. | Ewin.	eva quitate. | E.
t'a	28	Yeseña(16); Mateo(9); Isabel(3)		ak'kot wib'an o ak'kot t'a yich hinpatik. | ix b'at winh t'a chi'.	damelo en la espalda. | él se fue para ya.
mamin	27	Yeseña(15); Isabel(9); Mateo(2); Francisco(1)		mamin. | mamin.	papá. | papá.
tzin	27	Mateo(11); Yeseña(8); Francisco(5); Isabel(3)		tzin emi. | tzin emi.	bajenme. | bajame.
otela	27	Mateo(27)		otela. | otela.	otela.(nombre del perro). | otela.(nombre del perro)
put	27	Mateo(27)		wak' put. | ni hin put chi'.	voy a jugar fut. | ahi esta mi fut.
in	26	Mateo(24); Brendo(1); Francisco(1)		ha´in. | in nok' chi'.	yo. | allí está.
b'at	26	Mateo(18); Yeseña(5); Isabel(2); Francisco(1)		b'at wil ix nene'. | ix b'at ix.	voy ir ha ver a la nena. | se fue ella.
ho	26	Isabel(24); Yeseña(2)		ho. | ho u hoy.	¡oh!. | ¡oh! o si.
i'	25	Yeseña(22); Mateo(2); Isabel(1)		i'. | i'.	si. | si.
han	24	Yeseña(16); Mateo(5); Isabel(3)		hinkuch ix han. | han.	la cargo pues. | pues.
tajnel	23	Mateo(19); Yeseña(3); Francisco(1)		tajnel. | kak' tajnel.	jugar. | jugamos.
elanh	23	Mateo(16); Yeseña(4); Francisco(3)		elanh. | elanh.	salite. | salite.
ana	23	Mateo(20); Yeseña(3)		ix ana. | yak'an ix ana.	ana. | hac√≠a ana.
te'	22	Yeseña(18); Mateo(3); Isabel(1)		te'. | ni te'.	palo. | aqui esta.
chi	21	Mateo(15); Yeseña(3); Isabel(2); Francisco(1)		yam chi an. | Malpal xa chi.	agarrá eso pues. | María decí.
womwa	21	Mateo(21)		ha womwa. | ha womwa.	es bomba. | es bomba.
junchi'	20	Mateo(19); Francisco(1)		junchi'. | ¬øtas junchi'?	ese. | ¬øqu√© es ese?
lolo'	20	Mateo(16); Isabel(4)		lolo' (pek'al). | lolo' (pek'al).	glotones. | glotones.
esta	19	Mateo(19)		el ni√±o esta toseando. | el ni√±o esta toseando.	el ni√±o esta toseando. | el ni√±o esta toseando.
tek'	18	Mateo(14); Yeseña(3); Francisco(1)		tek'. | ix hin tek' k'en karro.	patear. | pateo el carro.
wil	17	Mateo(15); Francisco(1); Yeseña(1)		b'at wil ix nene'. | /wil tele.	voy ir ha ver a la nena. | voa a ver tele.+ M
lem	17	Mateo(9); Isabel(5); Yeseña(3)		lem. | lem.	ven o vení. | ven.
ixta'	17	Mateo(10); Yeseña(7)		ixta'. | ixta'.	ya est√°. | ya est√°.
sb'at	17	Mateo(16); Yeseña(1)		ni sb'at k'en karro chi'. | sb'at nok'.	alli va el carro. | se va.
geni	16	Isabel(16)		geni. | geni.	geni. | Geni.
kak'xi	16	Mateo(16)		kak'xi tajnel, kak'xi tajnel. | kak'xi tajnel, kak'xi tajnel.	jugamos otra vez, jugamos otra vez. | jugamos otra vez, jugamos otra vez.
mama	16	Mateo(14); Yeseña(2)		mama hi wa'ok. | ha ix mama.	mami voy a comer. | la mam·.
to	15	Isabel(7); Mateo(4); Yeseña(4)		to wik k'ak payu' tik. | to.	es que es mío el panuelo. | to.
yak'ani	15	Mateo(15)		yak'ani. | ( ). yak'ani.	as√≠ lo hizo. | ( ) dec√≠a.
mansan	15	Yeseña(15)		mansan. | mansan.	manzana. | manzana.
yadira	15	Yeseña(15)		Yadira. | Yadira.	Yadira. | Yadira.
malaj	14	Mateo(6); Isabel(3); Yeseña(3); Brendo(2)		malaj nok´. | malaj k'en.	no esta. | no hay.
tumin	14	Mateo(13); Francisco(1)		tumin. | ak' junok hin tumin.	dinero. | dame un dinero.
chillando	14	Mateo(14)		el ni√±o esta chillando. | el  ni√±o esta chillando.	el esta ni√±o chillando. | el ni√±o esta chillando
edwinh	14	Mateo(14)		/kak' wol edwinh. | /ni edwinh.	juguemos pelota Edvin. | tenh E.
punh	13	Mateo(10); Francisco(3)		punh. | punh.	( ). | ( ).
